CustomerID,Gender,Location,Age,Tenure,Balance,NumOfProducts,HasCreditCard,IsActiveMember,EstimatedSalary,Churn
10001,Male,Hyderabad,18.0,1,71993.87,2,1,1,82042.75902317397,0
10002,Male,Chennai,48.04827549242018,2,52803.26,2,1,1,51977.22060473375,0
10003,Female,Delhi,45.13110384430418,9,0.0,1,1,1,64878.93000127044,0
10004,Female,Kolkata,59.352099412137925,8,59252.24,2,0,0,80098.67058400557,1
10005,Male,Bangalore,63.327650215440016,2,59554.13,2,1,1,80094.54121176258,0
10006,Male,Mumbai,26.80539540602385,7,43195.34,2,1,1,93895.34024412662,0
10007,Male,Pune,58.18593462253775,4,51400.84,1,1,1,63488.61279337305,0
10008,Female,Mumbai,30.99269133314163,6,104044.93,2,1,0,52239.812161802125,0
10009,Female,Bangalore,56.83859930494488,3,78462.77,1,1,0,10000.0,0
10010,Female,Chennai,33.93972963633405,7,23439.06,2,0,0,27391.528657765102,0
10011,Male,Mumbai,50.28034688894412,3,108571.06,1,1,1,65353.5426800678,0
10012,Male,Pune,68.02780517801352,4,26172.41,2,0,0,80086.82546067506,0
10013,Female,Chennai,58.99404493452548,0,98481.34,1,1,1,45119.7467810977,0
10014,Male,Mumbai,31.16585463954596,9,28277.2,1,1,1,124989.28151450022,0
10015,Male,Delhi,27.916739171448448,7,45458.47,2,1,1,111265.94581623182,0
10016,Male,Delhi,56.64510551875134,6,0.0,2,1,0,97762.64972147591,0
10017,Male,Delhi,64.79201765932898,10,65820.49,2,1,1,124494.11947242467,0
10018,Female,Pune,51.446992342951454,4,0.0,1,0,1,128469.2526420081,0
10019,Male,Delhi,37.332405480911895,5,56219.82,1,0,1,80094.54121176258,0
10020,Male,Pune,45.62805075400327,0,36961.79,2,1,0,60623.6720348976,0
10021,Female,Kolkata,51.48666197216243,7,37297.95,2,1,0,75786.55532241976,0
10022,Male,Kolkata,45.13110384430418,8,61819.74,2,1,0,63801.282157719295,0
10023,Male,Delhi,31.180790407601894,10,74587.67,1,1,1,14679.31864980085,0
10024,Male,Hyderabad,60.95607849244631,4,89263.38,1,0,1,98061.54087251423,0
10025,Male,Delhi,73.17429223467641,9,14909.13,2,0,0,80907.00733455946,0
10026,Female,Delhi,66.39832227777256,6,40664.95,1,1,1,125512.60131176484,0
10027,Male,Hyderabad,18.0,9,48568.86,1,0,0,24080.714680818164,0
10028,Female,Delhi,62.33973061681049,3,68088.69,2,1,0,114400.04343535627,0
10029,Female,Mumbai,53.67299599800235,5,67475.7,2,0,1,163735.52299008798,0
10030,Male,Hyderabad,35.14078091667573,1,24658.75,1,0,1,47146.43221802442,0
10031,Female,Pune,18.0,3,86055.82,2,1,1,57761.62269647812,0
10032,Male,Mumbai,43.29544721576854,4,62303.52,1,1,0,87748.08942546677,0
10033,Male,Mumbai,50.45522345801438,8,103669.28,1,0,1,98449.28984031967,0
10034,Female,Delhi,28.397176642901563,8,59512.49,1,1,0,10000.0,0
10035,Male,Mumbai,63.48386223567641,7,0.0,3,1,1,114709.72400784136,0
10036,Female,Bangalore,63.12029156811008,3,25298.23,2,1,0,10000.0,0
10037,Male,Kolkata,52.01873888509176,5,45169.63,1,0,1,112580.22695903436,0
10038,Male,Mumbai,24.40777449307896,6,24673.33,2,1,0,10000.0,0
10039,Female,Chennai,41.06886798676086,0,23565.8,2,1,0,51790.81164274444,0
10040,Male,Delhi,55.855393281913535,0,107131.67,1,0,1,118177.51035601612,0
10041,Male,Pune,54.86611472564312,3,12520.41,1,0,1,52897.86874197946,0
10042,Male,Mumbai,34.51456292581637,2,34120.26,3,1,0,122471.72014874752,0
10043,Male,Mumbai,36.71413953148922,9,51985.63,2,1,1,81021.0986684837,0
10044,Female,Bangalore,34.127760565843175,3,10539.46,1,0,1,84183.72386694224,0
10045,Male,Delhi,40.75667378575531,8,45107.51,2,1,0,61048.18249121943,0
10046,Female,Delhi,37.69966131379617,1,0.0,1,0,0,41194.33387535987,0
10047,Male,Bangalore,34.9660467251702,3,33467.72,2,1,1,151962.73812007176,0
10048,Female,Hyderabad,42.93573480526582,6,16442.55,2,1,0,84005.20232618485,0
10049,Female,Bangalore,45.599873491278345,1,40797.05,2,0,1,18978.06106545532,0
10050,Male,Chennai,61.30579233570819,7,48326.82,2,1,1,103243.2055392624,1
10051,Male,Mumbai,18.2809161735326,9,90460.97,1,1,1,20144.62271762491,0
10052,Female,Chennai,63.28894969676625,3,31693.01,2,0,0,74941.11535466026,1
10053,Female,Bangalore,33.79026398940036,8,114115.91,2,1,0,27295.925070611334,0
10054,Female,Kolkata,72.90760088004536,0,56367.6,1,1,0,43077.809133141935,0
10055,Female,Hyderabad,55.09795551424829,6,21715.26,2,1,0,86039.96440587874,0
10056,Female,Kolkata,53.21007240865245,0,54054.57,1,0,0,88356.37363348044,1
10057,Male,Chennai,43.4397801500878,10,87065.75,2,0,0,28172.149800333835,1
10058,Male,Delhi,75.9453613531955,9,17967.89,2,1,0,85027.14409408842,0
10059,Male,Chennai,44.54092358994608,10,108266.47,2,1,1,10696.829033620115,0
10060,Male,Delhi,67.67546131081923,8,65964.87,2,1,1,124617.045239293,0
10061,Male,Pune,36.38200668974349,9,15679.1,1,0,1,80394.716980812,0
10062,Male,Delhi,55.74890478268715,9,34333.79,1,1,0,79034.55743142724,0
10063,Female,Bangalore,73.47271162848467,0,37529.86,1,0,1,46390.42164737307,0
10064,Male,Mumbai,32.280397289918,2,83248.71,2,1,0,49111.09250203823,0
10065,Male,Kolkata,52.36890252811741,6,14618.64,1,1,1,113416.76022186848,1
10066,Female,Mumbai,34.40437614311196,0,96183.84,1,1,1,94736.77030740993,0
10067,Male,Delhi,51.44493866254729,4,84248.12,1,1,0,117136.4880078254,1
10068,Female,Hyderabad,73.40982777045522,5,99931.2,1,1,1,50835.70592876829,0
10069,Male,Kolkata,30.99871303807417,2,51764.33,1,1,0,70816.08813842629,0
10070,Female,Delhi,47.3401201817656,5,87046.57,3,1,1,92257.09107728256,1
10071,Female,Delhi,32.48293112993729,3,42778.49,2,1,0,70890.67640943674,0
10072,Male,Pune,43.06078029873353,5,80649.42,1,1,0,97532.22530397738,0
10073,Male,Chennai,54.31839527682996,5,52626.16,1,1,0,55907.06394705069,0
10074,Female,Chennai,40.52747564322905,3,104032.04,2,0,0,31189.65630195759,0
10075,Female,Delhi,68.60870973593379,0,58049.98,3,1,1,95645.70450421648,0
10076,Female,Bangalore,52.25015447957193,2,24660.54,1,1,0,21378.71683305408,0
10077,Female,Hyderabad,25.14882603824802,10,95386.92,1,0,1,161600.12763849273,0
10078,Male,Bangalore,49.79691802399736,9,56255.31,2,1,1,66917.50155297651,0
10079,Male,Kolkata,66.91676777132744,6,33900.78,2,1,0,63887.755967451216,1
10080,Male,Pune,53.13621317667364,1,32478.27,1,0,1,88641.99668757309,0
10081,Female,Pune,48.91141566908997,3,23297.96,1,0,1,96387.635201842,0
10082,Female,Chennai,40.53701990965,5,7026.99,1,1,1,60405.34690659372,0
10083,Male,Pune,43.54459918513677,4,37333.25,1,1,0,87741.7428497066,0
10084,Male,Bangalore,45.1626261643048,5,56145.26,1,1,1,58853.19242026865,0
10085,Male,Hyderabad,18.0,4,38563.78,2,1,0,128910.47867358834,0
10086,Male,Hyderabad,51.95547792026288,8,0.0,2,1,1,113729.2797076844,0
10087,Female,Chennai,59.95046765317038,10,3887.82,1,1,0,59412.521280254936,0
10088,Female,Delhi,33.78105493534743,1,78202.36,2,0,0,63401.052298684095,1
10089,Female,Hyderabad,48.48725433770009,3,46566.57,1,1,1,57016.90148528619,0
