CustomerID,Gender,Location,Age,Tenure,Balance,NumOfProducts,HasCreditCard,IsActiveMember,EstimatedSalary,Churn
10001,Male,Hyderabad,18.0,1,"₹ 83,328.23",2,1,1,86787.41,0
10002,M,Chennai,42.4,2,"₹ 67,336.05",2,1,1,60480.07,0
10003,Female,Delhi,52.3,9,"₹ 17,406.97",1,1,1,71769.06,0
10004,Female,Kolkata,,8,"₹ 72,710.20",2,0,0,85086.34,0
10005,Male,Bangalore,54.7,2,"₹ 72,961.77",2,1,1,143221.99,0
10006,Male,mumbai,25.4,7,"₹ 59,329.45",2,1,1,97158.42,1
10007,Male,Pune,50.5,4,"₹ 66,167.36",1,1,1,70552.54,0
10008,Female,Mumbai,28.8,6,"₹ 110,037.44",2,1,0,60709.84,0
10009,Female,Bangalore,49.5,3,"₹ 88,718.97",1,1,0,15000.0,0
10010,Female,Chennai,31.2,7,"₹ 42,865.88",2,0,0,38967.59,0
10011,Male,mumbai,44.2,3,"₹ 113,809.22",1,1,1,72184.35,1
10012,M,Pune,58.4,4,"₹ 45,143.67",2,0,0,85075.97,0
10013,Female,Chennai,51.2,0,"₹ 105,401.11",1,1,1,54479.78,0
10014,Male,Mumbai,28.9,9,"₹ 46,897.67",1,1,1,124365.62,0
10015,Male,DELHI,26.3,7,"₹ 61,215.39",2,1,1,112357.7,0
10016,Male,Delhi,49.3,6,"₹ 12,187.85",2,1,0,100542.32,0
10017,Male,DELHI,55.8,10,"₹ 78,183.74",2,1,1,123932.35,0
10018,Female,Pune,45.2,4,"₹ 15,926.97",1,0,1,127410.6,0
10019,Male,DELHI,33.9,5,"₹ 70,183.18",1,0,1,67253.67,0
10020,Male,Pune,40.5,0,"₹ 54,134.82",2,1,0,68045.71,0
10021,Female,Kolkata,45.2,7,"₹ 54,414.96",2,1,0,81313.24,0
10022,Male,Kolkata,38.9,8,"₹ 74,849.79",2,1,0,70826.12,0
10023,Male,DELHI,28.9,10,"₹ 85,489.73",1,1,1,27844.4,0
10024,Male,Hyderabad,52.8,4,"₹ 97,719.49",1,0,1,100803.85,0
10025,Male,DELHI,62.5,9,"₹ 35,757.61",2,0,0,85793.63,0
10026,Female,DELHI,57.1,6,"₹ 57,220.79",1,1,1,124823.53,1
10027,Male,Hyderabad,18.0,9,"₹ 63,807.38",1,0,0,36070.63,1
10028,Female,Delhi,53.9,3,"₹ 80,073.91",2,1,0,115100.04,0
10029,Female,mumbai,46.9,5,"₹ 79,563.09",2,0,1,158268.58,0
10030,Male,Hyderabad,32.1,1,"₹ 43,882.30",1,0,1,56253.13,0
10031,Female,Pune,18.0,3,"₹ 95,046.51",2,1,1,65541.42,0
10032,Male,mumbai,38.6,4,"₹ 75,252.94",1,1,0,91779.58,0
10033,Male,Mumbai,44.4,8,"₹ 109,724.40",1,0,1,101143.13,0
10034,M,Delhi,26.7,8,"₹ 72,927.08",1,1,0,15000.0,0
10035,M,Mumbai,54.8,7,"₹ 14,935.28",3,1,1,115371.01,1
10036,Female,Bangalore,54.5,3,"₹ 44,415.19",2,1,0,21367.36,0
10037,Male,Kolkata,45.6,5,"₹ 60,974.69",1,0,1,113507.7,0
10038,Male,Mumbai,23.5,6,"₹ 43,894.44",2,1,0,18701.06,0
10039,Female,Chennai,36.9,0,"₹ 42,971.50",2,1,0,60316.96,0
10040,Male,DELHI,48.7,0,"₹ 112,609.72",1,0,1,118405.32,0
10041,Male,Pune,47.9,3,"₹ 33,767.01",1,0,1,61285.64,0
10042,Female,Mumbai,31.6,2,"₹ 51,766.88",4,1,0,122162.76,0
10043,Male,Mumbai,33.4,9,"₹ 66,654.70",2,1,1,85893.46,0
10044,Female,Bangalore,31.3,3,"₹ 32,116.22",1,0,1,88660.76,0
10045,Male,DELHI,36.6,8,"₹ 60,922.92",3,1,0,68417.16,0
10046,Female,DELHI,34.2,1,"₹ 5,903.44",1,0,0,51045.04,0
