Gender,Location,Age,Tenure,Balance,NumOfProducts,HasCreditCard,IsActiveMember,EstimatedSalary,Actual_Churn,Predicted_Churn_Prob,Predicted_Churn
Male,Mumbai,61.93119233917011,5,74505.52,1,1,1,31652.791839579942,0,0.12,0
Male,Chennai,35.9974308675842,8,47410.32,2,0,1,88656.24591692149,0,0.0,0
Male,Mumbai,35.53194199663928,5,99269.44,1,1,0,43600.19485866767,0,0.24,0
Male,Delhi,31.73962352730872,6,47002.22,1,1,1,73985.33343086824,0,0.0,0
Male,Delhi,39.07103300327049,2,38701.3,1,1,1,80636.17503781001,0,0.02,0
Female,Pune,56.30563790440719,2,59205.0,2,0,0,32921.66515936092,0,0.2,0
Female,Mumbai,34.819857199785446,5,50775.39,1,1,1,45097.550656681415,0,0.06,0
Male,Mumbai,64.28727715444194,5,90837.15,2,1,1,109482.60538243796,1,0.11,0
Female,Pune,30.3973504800743,8,55505.54,2,0,1,58915.40918271069,0,0.0,0
Male,Mumbai,41.69646128102921,3,89854.35,1,1,0,127708.85116594702,0,0.07,0
Female,Pune,36.487448654022025,7,73650.02,2,1,0,84118.53892164421,1,0.29,0
Male,Delhi,40.626613205805896,8,29393.46,2,1,1,83288.35297203193,0,0.02,0
Male,Mumbai,62.870687532720815,8,57161.76,2,0,1,159678.52566163606,0,0.11,0
Male,Pune,29.63791884323707,3,94098.8,1,1,0,147647.51887618503,0,0.09,0
Male,Bangalore,44.20854772629401,5,28074.56,1,0,0,83557.3053894944,0,0.25,0
Female,Pune,52.44928606918828,0,31533.35,1,1,0,24887.854005902533,0,0.16,0
Male,Bangalore,59.50859447902198,0,25557.02,2,1,1,10000.0,0,0.41,0
Female,Pune,48.738122870713255,5,34247.48,2,1,0,44986.91991932764,0,0.15,0
Female,Bangalore,44.39301405110238,9,29431.79,1,0,0,74602.72251551786,0,0.16,0
Male,Mumbai,26.155635419811123,10,1820.96,2,1,1,54768.40692675002,0,0.01,0
Male,Delhi,52.00708428629558,10,62052.41,1,1,1,64983.06016945734,0,0.06,0
Female,Chennai,35.936455713547105,6,67204.84,2,1,0,76309.99475120849,0,0.52,1
Male,Hyderabad,64.13972602843259,5,50854.86,2,1,1,61314.76096964008,0,0.09,0
Male,Bangalore,45.28634394758945,9,105505.48,2,1,1,100484.81026807125,0,0.05,0
Female,Kolkata,33.423930997380104,6,0.0,1,1,0,99218.56869008882,0,0.1,0
Male,Delhi,62.6026401311472,5,34510.84,1,1,0,93567.87410343355,0,0.23,0
Female,Mumbai,36.43471535012207,7,55682.14,2,1,1,106082.26368372326,0,0.01,0
Female,Bangalore,71.3027300393507,3,70750.73,1,1,0,130773.4755968728,0,0.23,0
Female,Pune,44.77097243841598,4,68881.92,1,1,1,73517.80799364974,0,0.02,0
Female,Mumbai,42.748458001774,8,5232.37,1,1,0,123488.28366556791,0,0.1,0
